Gene_acc,Gene_id,84P1,84P2,84P3,84M1,84M2,84M3,Desc
0,GFP.BLA,720392.25,687662.0625,695438.25,759905,707843.375,657373.25,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,111098.6953,126131.6719,129992.3594,180045.7344,179575.4219,174333.9063,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,1860188.25,1896992.5,1901785.5,1899311.875,2291276.5,1346840.125,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,208414.4844,203201.1719,210241.875,277001.0938,260787.5156,284509.7188,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,2174132.75,2103495.5,2105590.25,2529122,2632180.5,2632349,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,3402756.25,3257732.5,3394494,2888494.25,2853608.25,3040316.5,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,596846.25,665362.75,675938.375,566591.9375,611036.75,514393.7188,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,182359.5469,163394.1406,170131.6563,154813.8594,147780.0625,133048.4219,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,1722742,1620564.125,1519989.75,2506401.5,2561073,2523664.5,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,598892.9375,696266.5,695690.375,892743.4375,1044120.063,885997.75,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,32897.02344,34088.05859,28999.52148,38170.49609,48726.95703,47934.71094,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,93156.67188,69607.14844,68621.51563,271093.875,236904.1563,283690.6875,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1551932.875,1421660.375,1382464.125,1602745.25,1857309.875,1626202.5,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,105245.5313,113433.3984,115361.2188,218713.8438,195655.5313,256925.5313,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,352854.7813,313905.8125,303612.4688,396157.4375,405973.625,381534.6875,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,210913.8125,209336.2813,205247.0781,236924.2656,244773.4844,238897.5156,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,4347111.5,4060907.25,3987269,4101228,4098778,4181124.25,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,124149.2891,114804.5469,114618.7031,175309.1563,187414.6406,190242.125,"calcium/calmodulin-dependent protein kinase, putative"
19,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,212441.9844,223984.5313,218189.7813,227413.4219,229278.125,259225.875,"dynein light chain, putative"
